COLID,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,megaCluster,Demand,Cars,ExpectedTimePerVehicle,PercentageCheck,TerminalTypeName,Driving_Blocks,Night_Blocks
24,B203402,4,41.89326897,-87.62780204,1.24,20,9,5,267,174,6556,9256,E,S, 7 - 47 E ONTARIO ST ,7,47,9 E ONTARIO ST,203402,203,4,24,447920.0207,4638116.64,1,0.166666667,1.534482759,22.68512748,1,MP104,0,1
25,B203403,4,41.89326149,-87.62828015,1.257,18,6,3,173,174,4503,5598,W,S, 3 - 21 W ONTARIO ST ,3,21,9 W ONTARIO ST,203403,203,4,25,447880.3523,4638116.1,1,0.137931034,0.994252874,22.45573553,1,MP104,0,1
26,B203404,4,41.89323853,-87.63021067,1.326,5,1,1,157,172,5196,3869,W,S, 49 - 71 W ONTARIO ST ,49,71,57 W ONTARIO ST,203404,203,4,26,447720.1845,4638114.725,1,0.034883721,0.912790698,19.01049508,1,MP104,0,1
27,B203405,4,41.89318861,-87.63338372,1.272,9,6,0,125,176,2463,3051,W,S, 145 - 165 W ONTARIO ST ,145,165,157 W ONTARIO ST,203405,203,4,27,447456.9186,4638111.121,1,0.085227273,0.710227273,22.31875362,1,MP104,0,1
28,B204401,4,41.89345865,-87.61720531,1.349,241,47,143,1933,403,7365,10508,E,N, 410 - 454 E ONTARIO ST ,410,454,428 E ONTARIO ST,204402,204,4,28,448799.2388,4638131.322,1,0.714640199,4.796526055,23.31698639,1,MP104,0,1
29,B204403,4,41.89344368,-87.61642747,1.361,153,37,30,1163,393,5593,5644,E,S, 439 - 467 E ONTARIO ST ,439,467,451 E ONTARIO ST,204403,204,4,29,448863.7535,4638129.196,1,0.48346056,2.959287532,21.8535853,1,MP104,0,1
30,B205101,2,41.93619363,-87.72706792,0.809,0,0,0,0,2,260,97,N,E, 3005 - 3055 N PULASKI RD ,3005,3055,3019 N PULASKI RD,205101,205,1,30,439725.6721,4642947.504,0,0,0,22,1,MP104,0,0
31,B205103,2,41.93780728,-87.72716045,1.057,0,0,0,2,2,44,59,N,W, 3112 - 3158 N PULASKI RD ,3112,3158,3128 N PULASKI RD,205104,205,1,31,439719.521,4643126.73,0,0,1,22,1,MP104,0,0
32,B205105,2,41.93660664,-87.72712961,0.633,0,0,0,3,2,725,75,N,W, 3036 - 3052 N PULASKI RD ,3036,3052,3040 N PULASKI RD,205105,205,1,32,439720.9469,4642993.403,0,0,1.5,11.875,1,MP104,0,0
33,B205106,2,41.9359517,-87.72709809,0.905,1,0,0,3,2,1263,548,N,W, 3004 - 3036 N PULASKI RD ,3004,3036,3014 N PULASKI RD,205106,205,1,33,439722.9432,4642920.664,0,0.5,1.5,20.70127002,1,MP104,0,0
34,B206601,2,41.70655603,-87.66973771,0.709,12,0,0,17,7,4542,2073,W,S, 1905 - 1933 W 103RD ST ,1905,1933,1913 W 103RD ST,206601,206,6,34,444279.6681,4617412.985,0,1.714285714,2.428571429,27.25351474,1,MP104,0,0
35,B206602,2,41.70633726,-87.66916573,0.534,7,0,0,11,6,2083,428,S,W, 10302 - 10308 S WALDEN PKWY ,10302,10308,10304 S WALDEN PKWY,206602,206,6,35,444327.0668,4617388.326,0,1.166666667,1.833333333,23.96690924,1,MP104,0,0
36,B206603,2,41.70638582,-87.66860448,0.818,16.52020345,4.242723933,3.730714891,131.670811,50.36083639,209,50,S,E, 10303 - 10309 S HALE AVE ,10303,10309,10303 S HALE AVE,206603,206,6,36,444373.8035,4617393.355,0,0.412283212,2.61454774,22,1,MP104,0,0
37,B206604,2,41.70658957,-87.66804792,0.626,9,0,0,15,5,1459,212,W,S, 1815 - 1835 W 103RD ST ,1815,1835,1823 W 103RD ST,206604,206,6,37,444420.2836,4617415.617,0,1.8,3,24.62689315,1,MP104,0,0
38,B206605,2,41.7066141,-87.66820148,0.692,2,0,0,2,2,949,295,W,N, 1826 - 1842 W 103RD ST ,1826,1842,1828 W 103RD ST,206605,206,6,38,444407.5289,4617418.439,0,1,1,30,1,MP104,0,0
39,B206606,2,41.70703811,-87.66906649,0.857,16.52020345,4.242723933,3.730714891,131.670811,50.36083639,274,82,S,W, 10252 - 10258 S WALDEN PKWY ,10252,10258,10256 S WALDEN PKWY,206606,206,6,39,444335.9279,4617466.073,0,0.412283212,2.61454774,22,1,MP104,0,0
40,B206607,2,41.70658106,-87.66999654,0.779,10,0,0,17,5,1387,976,W,N, 1908 - 1930 W 103RD ST ,1908,1930,1920 W 103RD ST,206607,206,6,40,444258.1557,4617415.932,0,2,3.4,25.59775709,1,MP104,0,0
41,B208304,2,41.89567997,-87.65554127,1.429,16,4,1,75,25,1104,2074,N,E, 709 - 725 N ABERDEEN ST ,709,725,719 N ABERDEEN ST,208304,208,3,41,445620.918,4638401.537,0,0.8,3,25.0660793,1,MP104,0,0
42,B208305,2,41.89565488,-87.65556291,1.437,5,2,0,34,26,702,1054,N,W, 732 - 740 N ABERDEEN ST ,732,740,736 N ABERDEEN ST,208305,208,3,42,445619.1016,4638398.765,0,0.269230769,1.307692308,23.70055912,1,MP104,0,0
43,B208306,2,41.8946215,-87.65354513,1.446,1,2,3,32,26,722,1297,N,E, 707 - 711 N CARPENTER ST ,707,711,709 N CARPENTER ST,208306,208,3,43,445785.6094,4638282.755,0,0.115384615,1.230769231,23.6731817,1,MP104,0,0
44,B209503,6.5,41.88671826,-87.62287281,1.292,3,0,2,15,29,284,275,E,S, 131 - 157 E SOUTHWATER-LL ST ,131,157,149 E SOUTH WATER-LL ST,209503,209,5,44,448323.6524,4637386.351,1,0.103448276,0.517241379,22.88729875,1,MP104,0,0
45,B209504,6.5,41.88690396,-87.62273803,1.381,7,2,0,26,30,469,402,E,N, 130 - 160 E SOUTHWATER-LL ST ,130,160,144 E SOUTH WATER-LL ST,209504,209,5,45,448334.984,4637406.888,1,0.3,0.866666667,23.63636364,1,MP104,0,0
46,B210401,4,41.8914745,-87.62414418,1.418,53,14,11,278,121,3678,3682,N,E, 513 - 529 N MICHIGAN-LL AVE ,513,529,519 N MICHIGAN-LL AVE,210401,210,4,46,448222.0144,4637915.191,1,0.553719008,2.297520661,22.96842536,1,MP104,0,0
47,B211302,2,41.89690658,-87.65641163,1.066,0,0,0,11,14,742,1140,N,E, 837 - 851 N MILWAUKEE AVE ,837,851,837 N MILWAUKEE AVE,211302,211,3,47,445549.7607,4638538.277,0,0,0.785714286,22.11477152,1,MP104,0,0
48,B211303,2,41.89793709,-87.65800403,1.136,4,0,0,13,14,512,424,N,E, 875 - 889 N MILWAUKEE AVE ,875,889,875 N MILWAUKEE AVE,211303,211,3,48,445418.5458,4638653.704,0,0.285714286,0.928571429,22.70655271,1,MP104,0,0
49,B211304,2,41.89793688,-87.65806809,1.124,1,0,0,5,11,415,297,N,W, 876 - 882 N MILWAUKEE AVE ,876,882,880 N MILWAUKEE AVE,211304,211,3,49,445413.2319,4638653.721,0,0.090909091,0.454545455,20.6741573,1,MP104,0,0
50,B212402,4,41.89185785,-87.61703633,1.452,162,54,82,1693,365,6762,8488,E,N, 410 - 440 E GRAND AVE ,410,440,426 E GRAND AVE,212402,212,4,50,448811.9786,4637953.489,1,0.591780822,4.638356164,22.39617984,1,MP104,0,1
51,B212403,4,41.88999944,-87.61857323,1.515,313,119,113,2526,378,9058,10334,N,W, 414 - 452 N NEW ST ,414,452,422 N NEW ST,212404,212,4,51,448682.9927,4637748.072,1,1.142857143,6.682539683,22.39530101,1,MP104,0,1
52,B212407,4,41.88951174,-87.61723816,1.417,143,50,24,993,371,3445,4811,E,S, 343 - 349 E NORTH WATER ST ,343,349,347 E NORTH WATER ST,212407,212,4,52,448793.3614,4637693.126,1,0.520215633,2.676549865,23.38832286,1,MP104,0,1
53,B212408,4,41.89079465,-87.61765189,1.407,173,80,45,1697,388,7756,10193,N,E, 415 - 465 N MCCLURG CT ,415,465,463 N MCCLURG CT,212412,212,4,53,448760.0631,4637835.812,1,0.652061856,4.37371134,22.74071673,1,MP104,0,1
54,B212409,4,41.89080461,-87.61768274,1.357,69,30,12,780,367,3660,3972,N,W, 452 - 456 N MCCLURG CT ,452,456,454 N MCCLURG CT,212409,212,4,54,448757.5118,4637836.936,1,0.269754768,2.125340599,21.70952873,1,MP104,0,1
55,B212410,4,41.89182741,-87.61852428,1.445,167,75,91,1793,352,6641,9222,E,N, 334 - 346 E GRAND AVE ,334,346,340 E GRAND AVE,212410,212,4,55,448688.5166,4637950.998,1,0.6875,5.09375,22.89109428,1,MP104,0,1
56,B213401,4,41.89265501,-87.61701152,1.382,391,125,219,3203,376,11576,16292,E,N, 404 - 454 E OHIO ST ,404,454,416 E OHIO ST,213402,213,4,56,448814.6733,4638041.98,1,1.372340426,8.518617021,23.23316648,1,MP104,0,1
57,B213403,4,41.89263055,-87.61877708,1.287,220,58,78,2051,352,4676,14593,E,N, 352 - 358 E OHIO ST ,352,358,356 E OHIO ST,213403,213,4,57,448668.1878,4638040.319,1,0.789772727,5.826704545,25.88430282,1,MP104,0,1
58,B213404,4,41.89259911,-87.61912577,1.312,244,74,216,2452,348,14032,15213,E,S, 301 - 351 E OHIO ST ,301,351,343 E OHIO ST,213406,213,4,58,448639.2362,4638037.037,1,0.913793103,7.045977011,21.88950749,1,MP104,0,1
59,B214402,4,41.89424381,-87.61704437,1.26,127,45,187,1517,400,4587,7234,E,S, 411 - 455 E ERIE ST ,411,455,421 E ERIE ST,214402,214,4,59,448813.2167,4638218.401,0,0.43,3.7925,23.35626583,1,MP104,0,1
60,B214404,4,41.89427626,-87.61680968,1.247,275,75,286,2705,399,13623,13869,E,N, 416 - 460 E ERIE ST ,416,460,420 E ERIE ST,214404,214,4,60,448832.7114,4638221.863,0,0.877192982,6.779448622,21.65760074,1,MP104,0,1
61,B214405,4,41.89422385,-87.61985935,1.276,99,41,145,1116,397,5742,6031,E,N, 312 - 350 E ERIE ST ,312,350,316 E ERIE ST,214408,214,4,61,448579.6837,4638217.868,0,0.352644836,2.811083123,21.77303089,1,MP104,0,1
62,B215401,4,41.89499302,-87.61982381,1.296,211,54,153,1588,313,5093,10135,E,S, 303 - 353 E HURON ST ,303,353,311 E HURON ST,215405,215,4,62,448583.2488,4638303.245,0,0.846645367,5.073482428,24.67453173,1,MP104,0,1
63,B215402,4,41.89503395,-87.61919685,1.3,70,19,99,881,316,9383,6091,E,N, 300 - 348 E HURON ST ,300,348,340 E HURON ST,215402,215,4,63,448635.2906,4638307.414,0,0.28164557,2.787974684,19.44365522,1,MP104,0,1
64,B215404,4,41.89581399,-87.61820167,1.413,126,43,99,1174,308,13543,8204,E,S, 325 - 383 E SUPERIOR ST ,325,383,371 E SUPERIOR ST,215406,215,4,64,448718.4689,4638393.425,0,0.548701299,3.811688312,19.71048748,1,MP104,0,0
65,B216401,4,41.89585753,-87.61737898,1.359,257,82,191,2409,325,7040,15859,E,N, 304 - 374 E SUPERIOR ST ,304,374,368 E SUPERIOR ST,216403,216,4,65,448786.7483,4638397.768,0,1.043076923,7.412307692,24.8846872,1,MP104,0,1
66,B216404,4,41.89683831,-87.61829898,1.401,199,52,58,1929,327,11862,14389,E,N, 312 - 378 E CHICAGO AVE ,312,378,368 E CHICAGO AVE,216404,216,4,66,448711.2163,4638507.211,0,0.767584098,5.899082569,22.32012842,1,MP104,0,1
67,B216406,4,41.89679389,-87.61907011,1.371,235,77,153,2279,340,12514,15144,E,S, 305 - 379 E CHICAGO AVE ,305,379,331 E CHICAGO AVE,216407,216,4,67,448647.2141,4638502.74,0,0.917647059,6.702941176,22.42521836,1,MP104,0,1
68,B217401,4,41.89923449,-87.62107667,1.539,116,31,38,1179,292,6439,7369,E,S, 209 - 229 E DELAWARE PL ,209,229,225 E DELAWARE PL,217401,217,4,68,448482.7279,4638774.917,0,0.503424658,4.037671233,21.9476789,1,MP104,0,1
69,B217402,4,41.89928597,-87.61979431,1.684,82,24,26,844,293,4344,4818,E,N, 352 - 362 E DELAWARE PL ,352,362,354 E DELAWARE PL,217402,217,4,69,448589.1392,4638779.864,0,0.361774744,2.880546075,21.78970928,1,MP104,0,1
70,B217403,4,41.8992555,-87.619835,1.675,58,26,28,688,299,3425,3601,E,S, 257 - 263 E DELAWARE PL ,257,263,259 E DELAWARE PL,217403,217,4,70,448585.7396,4638776.505,0,0.280936455,2.301003344,21.55665151,1,MP104,0,1
71,B217404,4,41.90004012,-87.62046419,1.4,51,16,58,509,285,2675,3840,E,S, 245 - 269 E WALTON ST ,245,269,245 E WALTON ST,217404,217,4,71,448534.1792,4638863.997,0,0.235087719,1.785964912,23.1433335,1,MP104,0,1
72,B217405,4,41.90007455,-87.61987545,1.419,173,39,166,1420,290,5436,10768,E,N, 342 - 360 E WALTON ST ,342,360,352 E WALTON ST,217405,217,4,72,448583.0414,4638867.466,0,0.731034483,4.896551724,24.51570002,1,MP104,0,1
73,B217407,4,41.90085863,-87.62313902,1.361,176,71,11,1774,274,18498,19118,E,N, 148 - 234 E LAKE SHORE DR  DR ,148,234,170 E LAKE SHORE DR,217409,217,4,73,448312.9684,4638956.482,0,0.901459854,6.474452555,21.66902695,1,MP104,0,1
74,B217411,4,41.90091004,-87.62113206,1.413,45,17,25,663,268,3004,7125,E,S, 181 - 229 E LAKE SHORE DR  DR ,181,229,209 E LAKE SHORE DR,217411,217,4,74,448479.4802,4638960.983,0,0.231343284,2.473880597,24.69822847,1,MP104,0,1
75,B217412,4,41.8992715,-87.62072571,1.353,12,9,9,189,285,1329,1523,E,N, 230 - 234 E DELAWARE PL ,230,234,232 E DELAWARE PL,217412,217,4,75,448511.8693,4638778.816,0,0.073684211,0.663157895,21.8736103,1,MP104,0,1
76,B218401,4,41.89759448,-87.62136005,1.296,237,56,115,2260,320,11969,14929,E,S, 209 - 235 E PEARSON ST ,209,235,211 E PEARSON ST,218401,218,4,76,448457.9031,4638593.001,0,0.915625,7.0625,22.41013066,1,MP104,0,1
77,B218402,4,41.89763391,-87.61886962,1.376,294,124,101,3114,330,19946,19333,E,S, 235 - 287 E PEARSON ST ,235,287,245 E PEARSON ST,218402,218,4,77,448664.5179,4638595.886,0,1.266666667,9.436363636,21.34667479,1,MP104,0,1
78,B218404,4,41.89767634,-87.61832446,1.39,17,8,10,323,306,2847,2858,E,N, 244 - 296 E PEARSON ST ,244,296,266 E PEARSON ST,218404,218,4,78,448709.7732,4638600.27,0,0.081699346,1.055555556,20.90409682,1,MP104,0,1
79,B218407,4,41.89844298,-87.62124404,1.343,79,29,52,1076,299,5673,6994,E,N, 212 - 238 E CHESTNUT ST ,212,238,214 E CHESTNUT ST,218407,218,4,79,448468.2084,4638687.138,0,0.361204013,3.598662207,22.0401563,1,MP104,0,1
80,B218408,4,41.898418,-87.620749,1.335,76,35,57,899,304,7181,5448,E,S, 223 - 231 E CHESTNUT ST ,223,231,229 E CHESTNUT ST,218408,218,4,80,448509.2517,4638684.067,0,0.365131579,2.957236842,20.1785213,1,MP104,0,1
81,B218409,4,41.8984859,-87.61900842,1.362,88,35,45,950,305,2717,7395,E,N, 248 - 272 E CHESTNUT ST ,248,272,270 E CHESTNUT ST,218410,218,4,81,448653.6868,4638690.563,0,0.403278689,3.114754098,25.41494451,1,MP104,0,1
82,B219401,4,41.89995776,-87.6277484,1.2,74,22,23,893,309,5770,11409,E,N, 4 - 24 E WALTON ST ,4,24,14 E WALTON ST,219401,219,4,82,447929.9042,4638859.248,0,0.310679612,2.889967638,24.0796288,1,MP104,0,1
83,B219402,4,41.90044788,-87.62737758,1.217,67,24,20,830,301,4732,9915,N,W, 932 - 946 N RUSH ST ,932,946,940 N RUSH ST,219402,219,4,83,447961.0608,4638913.44,0,0.302325581,2.757475083,24.31431653,1,MP104,0,1
84,B219403,4,41.90127987,-87.6283177,1.351,64,22,7,696,291,3466,6681,N,E, 1019 - 1027 N STATE ST ,1019,1027,1023 N STATE ST,219403,219,4,84,447883.7571,4639006.384,0,0.295532646,2.391752577,24.05457126,1,MP104,0,1
85,B219404,4,41.90059611,-87.6288756,1.354,47,13,2,538,287,2951,5693,W,N, 8 - 36 W OAK ST ,8,36,14 W OAK ST,219404,219,4,85,447836.925,4638930.807,0,0.209059233,1.87456446,23.96762107,1,MP104,0,1
86,B219405,4,41.90184601,-87.629603,1.344,163,47,21,1410,285,6650,14433,W,S, 5 - 31 W MAPLE ST ,5,31,29 W MAPLE ST,219405,219,4,86,447777.6079,4639070.023,0,0.736842105,4.947368421,24.69293322,1,MP104,0,1
87,B219406,4,41.90187927,-87.62906939,1.348,109,27,28,894,281,4207,9326,W,N, 4 - 46 W MAPLE ST ,4,46,28 W MAPLE ST,219406,219,4,87,447821.8954,4639073.391,0,0.483985765,3.181494662,24.80258818,1,MP104,0,1
88,B219407,4,41.90277862,-87.62851149,1.245,91,37,4,1226,278,8735,13532,N,W, 1116 - 1132 N STATE ST ,1116,1132,1126 N STATE ST,219407,219,4,88,447868.9021,4639172.905,0,0.460431655,4.410071942,23.0192948,1,MP104,0,1
89,B219408,4,41.9031684,-87.62948982,1.326,69,30,6,795,269,4229,8809,W,N, 30 - 34 W ELM ST ,30,34,32 W ELM ST,219408,219,4,89,447788.073,4639216.776,0,0.36802974,2.955390335,24.37835041,1,MP104,0,1
90,B219409,4,41.9034893,-87.6286798,1.21,29,8,2,298,267,3324,4715,N,W, 1150 - 1164 N STATE ST ,1150,1164,1152 N STATE ST,219409,219,4,90,447855.5201,4639251.912,0,0.138576779,1.116104869,22.86778072,1,MP104,0,1
91,B219412,4,41.90317089,-87.62825802,1.323,41,12,12,384,272,2443,3721,E,S, 7 - 11 E ELM ST ,7,11,9 E ELM ST,219412,219,4,91,447890.2449,4639216.304,0,0.194852941,1.411764706,23.25674749,1,MP104,0,1
92,B219413,4,41.90283551,-87.62849204,1.238,49,19,2,571,278,4432,7644,N,E, 1125 - 1133 N STATE ST ,1125,1133,1129 N STATE ST,219413,219,4,92,447870.5617,4639179.209,0,0.244604317,2.053956835,23.5739826,1,MP104,0,1
93,B219414,4,41.90233743,-87.62786776,1.311,60,20,24,469,278,2989,4406,E,S, 9 - 13 E CEDAR ST ,9,13,11 E CEDAR ST,219414,219,4,93,447921.9372,4639123.53,0,0.287769784,1.68705036,23.44501828,1,MP104,0,1
94,B219415,4,41.90068695,-87.62796097,1.207,33,5,4,390,291,2232,5532,E,S, 3 - 25 E OAK ST ,3,25,3 E OAK ST,219415,219,4,94,447912.8646,4638940.337,0,0.130584192,1.340206186,24.84571424,1,MP104,0,1
95,B219416,4,41.90024375,-87.62828819,1.074,14,1,1,121,286,1436,2292,N,E, 935 - 937 N STATE ST ,935,937,935 N STATE ST,219416,219,4,95,447885.3623,4638891.328,0,0.052447552,0.423076923,23.45171674,1,MP104,0,1
96,B219418,4,41.89979656,-87.62706377,1.241,42,9,20,518,283,2903,6858,N,W, 910 - 926 N RUSH ST ,910,926,918 N RUSH ST,219418,219,4,96,447986.5619,4638840.935,0,0.180212014,1.830388693,24.72002444,1,MP104,0,1
97,B220401,4,41.89912875,-87.62935303,1.328,73,30,42,878,299,3003,10008,W,N, 2 - 34 W DELAWARE PL ,2,34,34 W DELAWARE PL,220401,220,4,97,447796.1285,4638768.18,0,0.344481605,2.936454849,25.98958451,1,MP104,0,0
98,B220403,4,41.90020831,-87.62832575,1.302,38,18,2,415,288,1727,3733,N,W, 934 - 958 N STATE ST ,934,958,938 N STATE ST,220403,220,4,98,447882.218,4638887.416,0,0.194444444,1.440972222,24.59175539,1,MP104,0,1
99,B220405,4,41.89912426,-87.62751505,1.256,41,7,16,377,299,2152,5049,E,S, 19 - 29 E DELAWARE PL ,19,29,23 E DELAWARE PL,220405,220,4,99,447948.5831,4638766.565,0,0.160535117,1.260869565,24.87945082,1,MP104,0,1
100,B220406,4,41.8996049,-87.62827009,1.198,27,9,5,292,288,2160,4961,N,E, 905 - 921 N STATE ST ,905,921,915 N STATE ST,220406,220,4,100,447886.3443,4638820.387,0,0.125,1.013888889,24.78654683,1,MP104,0,1
101,B220408,4,41.89910031,-87.62928665,1.311,17,4,29,185,290,1689,2072,W,S, 23 - 35 W DELAWARE PL ,23,35,33 W DELAWARE PL,220408,220,4,101,447801.6115,4638764.982,0,0.072413793,0.637931034,22.36559426,1,MP104,0,1
102,B220409,4,41.89915221,-87.62767665,1.241,29,6,13,364,291,2057,4214,E,N, 8 - 24 E DELAWARE PL ,8,24,24 E DELAWARE PL,220409,220,4,102,447935.2013,4638769.766,0,0.120274914,1.250859107,24.16626464,1,MP104,0,1
103,B221401,4,41.89997224,-87.6265575,1.162,198,67,34,2232,303,15807,28529,E,N, 38 - 114 E WALTON ST ,38,114,44 E WALTON ST,221401,221,4,103,448028.6984,4638860.133,0,0.874587459,7.366336634,23.82379255,1,MP104,0,1
104,B221403,4,41.90072238,-87.62661114,1.168,162,47,10,1919,294,10416,21221,E,S, 31 - 123 E OAK ST ,31,123,45 E OAK ST,221403,221,4,104,448024.8574,4638943.452,0,0.710884354,6.527210884,24.19150412,1,MP104,0,1
