,BlockID,MaxCurrentRate,Latitude,Longitude,Average.Duration.of.Paid.Parkers.in.Hours,Unpaid.Vehicles,Expired.Vehicles,Exempt.Vehicles,Spaces.Occupied,Survey.Count,Receipt.Transactions,Mobile.Transactions,StreetDirection,StreetSide,BlockDescription,BlockStartNumber,BlockEndNumber,TerminalLocationAddress,TerminalID,Area,Zone,ID,X,Y,MegaCluster_Flag,Tickets,Cars
20,B202401,4,41.89312322,-87.64006175,1.352,206,39,28,1245,198,10889,23273,W,N, 346 - 444 W ONTARIO ST ,346,444,428 W ONTARIO ST,202402,202,4,20,446902.8782,4638107.972,1,1.237373737,6.287878788
21,B202403,4,41.89300449,-87.64101998,1.132,28,4,0,155,190,2581,3619,N,E, 617 - 625 N KINGSBURY ST ,617,625,623 N KINGSBURY ST,202403,202,4,21,446823.2882,4638095.383,1,0.168421053,0.815789474
22,B202404,4,41.89311673,-87.63887689,1.351,103,11,6,456,176,5478,11110,W,S, 365 - 457 W ONTARIO ST ,365,457,371 W ONTARIO ST,202404,202,4,22,447001.1648,4638106.519,1,0.647727273,2.590909091
23,B203401,4,41.89329792,-87.62580782,1.22,11,3,0,130,197,4083,4566,E,S, 45 - 53 E ONTARIO ST ,45,53,45 E ONTARIO ST,203401,203,4,23,448085.4775,4638118.646,1,0.07106599,0.659898477
24,B203402,4,41.89326897,-87.62780204,1.228,22,11,5,290,197,9069,12398,E,S, 7 - 47 E ONTARIO ST ,7,47,9 E ONTARIO ST,203402,203,4,24,447920.0207,4638116.64,1,0.16751269,1.472081218
25,B203403,4,41.89326149,-87.62828015,1.24,18,6,4,181,197,6470,7571,W,S, 3 - 21 W ONTARIO ST ,3,21,9 W ONTARIO ST,203403,203,4,25,447880.3523,4638116.1,1,0.121827411,0.918781726
26,B203404,4,41.89323853,-87.63021067,1.303,5,1,1,170,195,6748,4951,W,S, 49 - 71 W ONTARIO ST ,49,71,57 W ONTARIO ST,203404,203,4,26,447720.1845,4638114.725,1,0.030769231,0.871794872
27,B203405,4,41.89318861,-87.63338372,1.229,13,6,0,141,197,3267,3779,W,S, 145 - 165 W ONTARIO ST ,145,165,157 W ONTARIO ST,203405,203,4,27,447456.9186,4638111.121,1,0.096446701,0.715736041
28,B204401,4,41.89345865,-87.61720531,1.34,254,47,143,1981,440,11559,16720,E,N, 410 - 454 E ONTARIO ST ,410,454,428 E ONTARIO ST,204402,204,4,28,448799.2388,4638131.322,1,0.684090909,4.502272727
29,B204403,4,41.89344368,-87.61642747,1.359,161,41,30,1208,431,8286,8783,E,S, 439 - 467 E ONTARIO ST ,439,467,451 E ONTARIO ST,204403,204,4,29,448863.7535,4638129.196,1,0.468677494,2.802784223
30,B205101,2,41.93619363,-87.72706792,0.856,0,0,0,0,2,379,190,N,E, 3005 - 3055 N PULASKI RD ,3005,3055,3019 N PULASKI RD,205101,205,1,30,439725.6721,4642947.504,0,0,0
31,B205103,2,41.93780728,-87.72716045,1.051,0,0,0,2,2,63,66,N,W, 3112 - 3158 N PULASKI RD ,3112,3158,3128 N PULASKI RD,205104,205,1,31,439719.521,4643126.73,0,0,1
32,B205105,2,41.93660664,-87.72712961,0.647,0,0,0,3,2,791,93,N,W, 3036 - 3052 N PULASKI RD ,3036,3052,3040 N PULASKI RD,205105,205,1,32,439720.9469,4642993.403,0,0,1.5
33,B205106,2,41.9359517,-87.72709809,0.889,1,0,0,3,2,1625,667,N,W, 3004 - 3036 N PULASKI RD ,3004,3036,3014 N PULASKI RD,205106,205,1,33,439722.9432,4642920.664,0,0.5,1.5
34,B206601,2,41.70655603,-87.66973771,0.748,12,0,0,17,7,7014,3478,W,S, 1905 - 1933 W 103RD ST ,1905,1933,1913 W 103RD ST,206601,206,6,34,444279.6681,4617412.985,0,1.714285714,2.428571429
35,B206602,2,41.70633726,-87.66916573,0.591,7,0,0,11,6,3062,722,S,W, 10302 - 10308 S WALDEN PKWY ,10302,10308,10304 S WALDEN PKWY,206602,206,6,35,444327.0668,4617388.326,0,1.166666667,1.833333333
36,B206603,2,41.70638582,-87.66860448,0.911,19.92315,4.69857,4.67808,154.0563,58.9307,423,87,S,E, 10303 - 10309 S HALE AVE ,10303,10309,10303 S HALE AVE,206603,206,6,36,444373.8035,4617393.355,0,0.417808036,2.614194299
37,B206604,2,41.70658957,-87.66804792,0.696,9,0,0,15,5,2547,337,W,S, 1815 - 1835 W 103RD ST ,1815,1835,1823 W 103RD ST,206604,206,6,37,444420.2836,4617415.617,0,1.8,3
38,B206605,2,41.7066141,-87.66820148,0.729,2,0,0,2,2,1607,403,W,N, 1826 - 1842 W 103RD ST ,1826,1842,1828 W 103RD ST,206605,206,6,38,444407.5289,4617418.439,0,1,1
39,B206606,2,41.70703811,-87.66906649,0.916,19.92315,4.69857,4.67808,154.0563,58.9307,463,124,S,W, 10252 - 10258 S WALDEN PKWY ,10252,10258,10256 S WALDEN PKWY,206606,206,6,39,444335.9279,4617466.073,0,0.417808036,2.614194299
40,B206607,2,41.70658106,-87.66999654,0.811,10,0,0,17,5,2472,1817,W,N, 1908 - 1930 W 103RD ST ,1908,1930,1920 W 103RD ST,206607,206,6,40,444258.1557,4617415.932,0,2,3.4
41,B208304,2,41.89567997,-87.65554127,1.529,25,9,2,144,44,2441,4252,N,E, 709 - 725 N ABERDEEN ST ,709,725,719 N ABERDEEN ST,208304,208,3,41,445620.918,4638401.537,0,0.772727273,3.272727273
42,B208305,2,41.89565488,-87.65556291,1.525,6,2,0,48,44,1118,1629,N,W, 732 - 740 N ABERDEEN ST ,732,740,736 N ABERDEEN ST,208305,208,3,42,445619.1016,4638398.765,0,0.181818182,1.090909091
43,B208306,2,41.8946215,-87.65354513,1.523,1,4,4,56,42,1376,2202,N,E, 707 - 711 N CARPENTER ST ,707,711,709 N CARPENTER ST,208306,208,3,43,445785.6094,4638282.755,0,0.119047619,1.333333333
44,B209503,6.5,41.88671826,-87.62287281,1.675,9,0,4,56,72,651,615,E,S, 131 - 157 E SOUTHWATER-LL ST ,131,157,149 E SOUTH WATER-LL ST,209503,209,5,44,448323.6524,4637386.351,1,0.125,0.777777778
45,B209504,6.5,41.88690396,-87.62273803,2.034,27,5,0,130,73,1323,1291,E,N, 130 - 160 E SOUTHWATER-LL ST ,130,160,144 E SOUTH WATER-LL ST,209504,209,5,45,448334.984,4637406.888,1,0.438356164,1.780821918
46,B210401,4,41.8914745,-87.62414418,1.608,69,16,21,339,134,5120,4924,N,E, 513 - 529 N MICHIGAN-LL AVE ,513,529,519 N MICHIGAN-LL AVE,210401,210,4,46,448222.0144,4637915.191,1,0.634328358,2.529850746
47,B211302,2,41.89690658,-87.65641163,1.137,8,1,0,34,39,1058,1565,N,E, 837 - 851 N MILWAUKEE AVE ,837,851,837 N MILWAUKEE AVE,211302,211,3,47,445549.7607,4638538.277,0,0.230769231,0.871794872
48,B211303,2,41.89793709,-87.65800403,1.228,7,1,0,41,39,1074,736,N,E, 875 - 889 N MILWAUKEE AVE ,875,889,875 N MILWAUKEE AVE,211303,211,3,48,445418.5458,4638653.704,0,0.205128205,1.051282051
49,B211304,2,41.89793688,-87.65806809,1.162,4,1,0,27,37,910,483,N,W, 876 - 882 N MILWAUKEE AVE ,876,882,880 N MILWAUKEE AVE,211304,211,3,49,445413.2319,4638653.721,0,0.135135135,0.72972973
50,B212402,4,41.89185785,-87.61703633,1.447,182,57,89,1803,393,9496,12453,E,N, 410 - 440 E GRAND AVE ,410,440,426 E GRAND AVE,212402,212,4,50,448811.9786,4637953.489,1,0.608142494,4.58778626
51,B212403,4,41.88999944,-87.61857323,1.532,371,133,113,2785,423,13551,13344,N,W, 414 - 452 N NEW ST ,414,452,422 N NEW ST,212404,212,4,51,448682.9927,4637748.072,1,1.191489362,6.58392435
52,B212407,4,41.88951174,-87.61723816,1.418,166,55,24,1074,410,4975,6810,E,S, 343 - 349 E NORTH WATER ST ,343,349,347 E NORTH WATER ST,212407,212,4,52,448793.3614,4637693.126,1,0.53902439,2.619512195
53,B212408,4,41.89079465,-87.61765189,1.394,201,84,49,1819,416,11010,14027,N,E, 415 - 465 N MCCLURG CT ,415,465,463 N MCCLURG CT,212412,212,4,53,448760.0631,4637835.812,1,0.685096154,4.372596154
54,B212409,4,41.89080461,-87.61768274,1.33,78,32,13,833,398,5183,5543,N,W, 452 - 456 N MCCLURG CT ,452,456,454 N MCCLURG CT,212409,212,4,54,448757.5118,4637836.936,1,0.27638191,2.092964824
55,B212410,4,41.89182741,-87.61852428,1.417,186,77,101,1908,383,9841,13038,E,N, 334 - 346 E GRAND AVE ,334,346,340 E GRAND AVE,212410,212,4,55,448688.5166,4637950.998,1,0.686684073,4.981723238
56,B213401,4,41.89268247,-87.61533514,1.376,429,131,241,3480,410,17452,23130,E,N, 404 - 454 E OHIO ST ,404,454,434 E OHIO ST,213401,213,4,56,448953.7629,4638044.031,1,1.365853659,8.487804878
57,B213403,4,41.89263055,-87.61877708,1.299,261,62,95,2287,390,7045,20713,E,N, 352 - 358 E OHIO ST ,352,358,356 E OHIO ST,213403,213,4,57,448668.1878,4638040.319,1,0.828205128,5.864102564
58,B213404,4,41.89259911,-87.61912577,1.302,285,82,236,2692,382,20815,21573,E,S, 301 - 351 E OHIO ST ,301,351,343 E OHIO ST,213406,213,4,58,448639.2362,4638037.037,1,0.960732984,7.047120419
59,B214402,4,41.89424381,-87.61704437,1.261,140,45,194,1569,437,6864,11649,E,S, 411 - 455 E ERIE ST ,411,455,421 E ERIE ST,214402,214,4,59,448813.2167,4638218.401,1,0.423340961,3.590389016
60,B214404,4,41.89427626,-87.61680968,1.247,295,76,293,2784,435,20669,22065,E,N, 416 - 460 E ERIE ST ,416,460,420 E ERIE ST,214404,214,4,60,448832.7114,4638221.863,1,0.852873563,6.4
61,B214405,4,41.89422385,-87.61985935,1.248,107,48,150,1183,439,8275,8932,E,N, 312 - 350 E ERIE ST ,312,350,316 E ERIE ST,214408,214,4,61,448579.6837,4638217.868,1,0.353075171,2.69476082
62,B215401,4,41.89499302,-87.61982381,1.305,225,54,155,1664,340,7291,15763,E,S, 303 - 353 E HURON ST ,303,353,311 E HURON ST,215405,215,4,62,448583.2488,4638303.245,1,0.820588235,4.894117647
63,B215402,4,41.89503395,-87.61919685,1.305,74,19,108,952,342,13311,9583,E,N, 300 - 348 E HURON ST ,300,348,340 E HURON ST,215402,215,4,63,448635.2906,4638307.414,1,0.271929825,2.783625731
64,B215404,4,41.89581399,-87.61820167,1.448,145,44,108,1263,332,20069,13893,E,S, 325 - 383 E SUPERIOR ST ,325,383,371 E SUPERIOR ST,215406,215,4,64,448718.4689,4638393.425,1,0.569277108,3.804216867
65,B216401,4,41.89585753,-87.61737898,1.407,280,86,212,2585,348,10495,24833,E,N, 304 - 374 E SUPERIOR ST ,304,374,368 E SUPERIOR ST,216403,216,4,65,448786.7483,4638397.768,1,1.051724138,7.42816092
66,B216404,4,41.89683831,-87.61829898,1.425,211,52,66,2028,350,17297,22244,E,N, 312 - 378 E CHICAGO AVE ,312,378,368 E CHICAGO AVE,216404,216,4,66,448711.2163,4638507.211,1,0.751428571,5.794285714
67,B216406,4,41.89679389,-87.61907011,1.41,249,79,166,2445,365,18735,23992,E,S, 305 - 379 E CHICAGO AVE ,305,379,331 E CHICAGO AVE,216407,216,4,67,448647.2141,4638502.74,1,0.898630137,6.698630137
68,B217401,4,41.89923449,-87.62107667,1.576,132,36,46,1288,327,9188,10320,E,S, 209 - 229 E DELAWARE PL ,209,229,225 E DELAWARE PL,217401,217,4,68,448482.7279,4638774.917,1,0.513761468,3.93883792
69,B217402,4,41.89928597,-87.61979431,1.752,93,29,36,928,323,6222,6757,E,N, 352 - 362 E DELAWARE PL ,352,362,354 E DELAWARE PL,217402,217,4,69,448589.1392,4638779.864,1,0.377708978,2.873065015
70,B217403,4,41.8992555,-87.619835,1.724,66,28,29,747,323,4883,5096,E,S, 257 - 263 E DELAWARE PL ,257,263,259 E DELAWARE PL,217403,217,4,70,448585.7396,4638776.505,1,0.291021672,2.312693498
71,B217404,4,41.90004012,-87.62046419,1.441,55,17,61,541,314,3987,5602,E,S, 245 - 269 E WALTON ST ,245,269,245 E WALTON ST,217404,217,4,71,448534.1792,4638863.997,1,0.229299363,1.722929936
72,B217405,4,41.90007455,-87.61987545,1.451,188,45,172,1497,317,7868,15475,E,N, 342 - 360 E WALTON ST ,342,360,352 E WALTON ST,217405,217,4,72,448583.0414,4638867.466,1,0.735015773,4.722397476
73,B217407,4,41.90085863,-87.62313902,1.421,186,74,11,1836,301,29509,32395,E,N, 148 - 234 E LAKE SHORE DR  DR ,148,234,170 E LAKE SHORE DR,217409,217,4,73,448312.9684,4638956.482,1,0.863787375,6.099667774
74,B217411,4,41.90091004,-87.62113206,1.45,47,17,26,688,298,4316,10619,E,S, 181 - 229 E LAKE SHORE DR  DR ,181,229,209 E LAKE SHORE DR,217411,217,4,74,448479.4802,4638960.983,1,0.214765101,2.308724832
75,B217412,4,41.8992715,-87.62072571,1.34,12,9,10,206,317,1919,2105,E,N, 230 - 234 E DELAWARE PL ,230,234,232 E DELAWARE PL,217412,217,4,75,448511.8693,4638778.816,1,0.066246057,0.649842271
76,B218401,4,41.89759448,-87.62136005,1.299,254,58,119,2366,335,16981,20998,E,S, 209 - 235 E PEARSON ST ,209,235,211 E PEARSON ST,218401,218,4,76,448457.9031,4638593.001,1,0.931343284,7.062686567
77,B218402,4,41.89763391,-87.61886962,1.424,310,129,106,3200,345,28130,27772,E,S, 235 - 287 E PEARSON ST ,235,287,245 E PEARSON ST,218402,218,4,77,448664.5179,4638595.886,1,1.272463768,9.275362319
78,B218404,4,41.89767634,-87.61832446,1.434,18,11,11,338,322,4146,4219,E,N, 244 - 296 E PEARSON ST ,244,296,266 E PEARSON ST,218404,218,4,78,448709.7732,4638600.27,1,0.090062112,1.049689441
79,B218407,4,41.89844298,-87.62124404,1.361,94,30,53,1148,323,8056,9768,E,N, 212 - 238 E CHESTNUT ST ,212,238,214 E CHESTNUT ST,218407,218,4,79,448468.2084,4638687.138,1,0.383900929,3.554179567
80,B218408,4,41.898418,-87.620749,1.334,81,38,59,950,326,10270,7462,E,S, 223 - 231 E CHESTNUT ST ,223,231,229 E CHESTNUT ST,218408,218,4,80,448509.2517,4638684.067,1,0.365030675,2.914110429
81,B218409,4,41.8984859,-87.61900842,1.378,90,37,48,1000,326,4010,10367,E,N, 248 - 272 E CHESTNUT ST ,248,272,270 E CHESTNUT ST,218410,218,4,81,448653.6868,4638690.563,1,0.389570552,3.067484663
82,B219401,4,41.89995776,-87.6277484,1.251,75,23,23,911,332,8477,15528,E,N, 4 - 24 E WALTON ST ,4,24,14 E WALTON ST,219401,219,4,82,447929.9042,4638859.248,1,0.295180723,2.743975904
83,B219402,4,41.90044788,-87.62737758,1.257,72,29,20,868,321,7026,13351,N,W, 932 - 946 N RUSH ST ,932,946,940 N RUSH ST,219402,219,4,83,447961.0608,4638913.44,1,0.314641745,2.704049844
84,B219403,4,41.90127987,-87.6283177,1.332,70,24,8,753,324,4601,8336,N,E, 1019 - 1027 N STATE ST ,1019,1027,1023 N STATE ST,219403,219,4,84,447883.7571,4639006.384,1,0.290123457,2.324074074
85,B219404,4,41.90059611,-87.6288756,1.365,54,16,2,575,317,4482,7975,W,N, 8 - 36 W OAK ST ,8,36,14 W OAK ST,219404,219,4,85,447836.925,4638930.807,1,0.220820189,1.813880126
86,B219405,4,41.90184601,-87.629603,1.353,169,50,21,1463,305,9848,19438,W,S, 5 - 31 W MAPLE ST ,5,31,29 W MAPLE ST,219405,219,4,86,447777.6079,4639070.023,1,0.718032787,4.796721311
87,B219406,4,41.90187927,-87.62906939,1.355,115,28,29,931,304,6261,12784,W,N, 4 - 46 W MAPLE ST ,4,46,28 W MAPLE ST,219406,219,4,87,447821.8954,4639073.391,1,0.470394737,3.0625
88,B219407,4,41.90277862,-87.62851149,1.254,94,42,4,1286,310,11891,18059,N,W, 1116 - 1132 N STATE ST ,1116,1132,1126 N STATE ST,219407,219,4,88,447868.9021,4639172.905,1,0.438709677,4.148387097
89,B219408,4,41.9031684,-87.62948982,1.326,71,31,6,833,297,6559,12233,W,N, 30 - 34 W ELM ST ,30,34,32 W ELM ST,219408,219,4,89,447788.073,4639216.776,1,0.343434343,2.804713805
90,B219409,4,41.9034893,-87.6286798,1.227,32,8,2,305,293,4760,6803,N,W, 1150 - 1164 N STATE ST ,1150,1164,1152 N STATE ST,219409,219,4,90,447855.5201,4639251.912,1,0.136518771,1.040955631
91,B219412,4,41.90317089,-87.62825802,1.343,45,12,13,401,298,3624,5304,E,S, 7 - 11 E ELM ST ,7,11,9 E ELM ST,219412,219,4,91,447890.2449,4639216.304,1,0.191275168,1.345637584
92,B219413,4,41.90283551,-87.62849204,1.248,51,20,2,595,309,6130,10231,N,E, 1125 - 1133 N STATE ST ,1125,1133,1129 N STATE ST,219413,219,4,92,447870.5617,4639179.209,1,0.229773463,1.925566343
93,B219414,4,41.90233743,-87.62786776,1.325,65,21,24,484,309,4370,6228,E,S, 9 - 13 E CEDAR ST ,9,13,11 E CEDAR ST,219414,219,4,93,447921.9372,4639123.53,1,0.278317152,1.566343042
94,B219415,4,41.90068695,-87.62796097,1.175,34,5,4,404,312,3846,7287,E,S, 3 - 25 E OAK ST ,3,25,3 E OAK ST,219415,219,4,94,447912.8646,4638940.337,1,0.125,1.294871795
95,B219416,4,41.90024375,-87.62828819,1.153,14,1,1,124,317,2382,3528,N,E, 935 - 937 N STATE ST ,935,937,935 N STATE ST,219416,219,4,95,447885.3623,4638891.328,1,0.047318612,0.391167192
96,B219418,4,41.89979656,-87.62706377,1.274,45,9,20,542,314,4275,9067,N,W, 910 - 926 N RUSH ST ,910,926,918 N RUSH ST,219418,219,4,96,447986.5619,4638840.935,1,0.171974522,1.72611465
97,B220401,4,41.89912875,-87.62935303,1.379,81,30,42,900,322,4844,14253,W,N, 2 - 34 W DELAWARE PL ,2,34,34 W DELAWARE PL,220401,220,4,97,447796.1285,4638768.18,1,0.344720497,2.795031056
98,B220403,4,41.90020831,-87.62832575,1.305,39,19,2,425,316,2240,4644,N,W, 934 - 958 N STATE ST ,934,958,938 N STATE ST,220403,220,4,98,447882.218,4638887.416,1,0.183544304,1.344936709
99,B220405,4,41.89912426,-87.62751505,1.275,43,7,16,394,324,3231,7068,E,S, 19 - 29 E DELAWARE PL ,19,29,23 E DELAWARE PL,220405,220,4,99,447948.5831,4638766.565,1,0.154320988,1.216049383
100,B220406,4,41.8996049,-87.62827009,1.305,28,9,5,296,315,3379,7755,N,E, 905 - 921 N STATE ST ,905,921,915 N STATE ST,220406,220,4,100,447886.3443,4638820.387,1,0.117460317,0.93968254
101,B220408,4,41.89910031,-87.62928665,1.328,20,6,30,198,314,2626,2978,W,S, 23 - 35 W DELAWARE PL ,23,35,33 W DELAWARE PL,220408,220,4,101,447801.6115,4638764.982,1,0.082802548,0.630573248
102,B220409,4,41.89915221,-87.62767665,1.248,30,7,15,381,313,3130,6084,E,N, 8 - 24 E DELAWARE PL ,8,24,24 E DELAWARE PL,220409,220,4,102,447935.2013,4638769.766,1,0.118210863,1.217252396
103,B221401,4,41.89997224,-87.6265575,1.197,221,70,34,2301,320,22641,38866,E,N, 38 - 114 E WALTON ST ,38,114,44 E WALTON ST,221401,221,4,103,448028.6984,4638860.133,1,0.909375,7.190625
104,B221403,4,41.90072238,-87.62661114,1.196,167,48,11,1945,311,13967,27441,E,S, 31 - 123 E OAK ST ,31,123,45 E OAK ST,221403,221,4,104,448024.8574,4638943.452,1,0.691318328,6.254019293
105,B221405,4,41.90075233,-87.62673385,1.207,134,31,10,1737,310,12142,19187,E,N, 24 - 114 E OAK ST ,24,114,44 E OAK ST,221406,221,4,105,448014.7033,4638946.852,1,0.532258065,5.603225806
106,B222401,4,41.89663267,-87.630729,1.312,4,1,0,85,87,1067,978,W,S, 47 - 57 W CHICAGO AVE ,47,57,53 W CHICAGO AVE,222401,222,4,106,447679.956,4638491.884,1,0.057471264,0.977011494
107,B222402,4,41.89664166,-87.63015702,1.212,13,2,2,156,88,2297,3878,W,S, 17 - 39 W CHICAGO AVE ,17,39,33 W CHICAGO AVE,222402,222,4,107,447727.4102,4638492.534,1,0.170454545,1.772727273
108,B222403,4,41.89734143,-87.62820236,1.132,18,6,1,180,241,3897,3598,N,E, 809 - 819 N STATE ST ,809,819,819 N STATE ST,222403,222,4,108,447890.1222,4638569.039,1,0.099585062,0.746887967
109,B222404,4,41.89751961,-87.62760624,1.346,29,12,3,317,246,5131,5819,E,S, 7 - 19 E PEARSON ST ,7,19,11 E PEARSON ST,222404,222,4,109,447939.7157,4638588.46,1,0.166666667,1.288617886
110,B222405,4,41.89754906,-87.62743458,1.359,39,20,4,600,248,8616,11530,E,N, 8 - 28 E PEARSON ST ,8,28,22 E PEARSON ST,222405,222,4,110,447953.979,4638591.625,1,0.237903226,2.419354839
111,B222406,4,41.89785901,-87.62821779,1.222,36,7,2,252,228,3764,6172,N,E, 835 - 841 N STATE ST ,835,841,839 N STATE ST,222406,222,4,111,447889.263,4638626.514,1,0.188596491,1.105263158
112,B222407,4,41.89833068,-87.62790799,1.295,13,9,3,261,240,3930,4533,E,N, 4 - 10 E CHESTNUT ST ,4,10,8 E CHESTNUT ST,222407,222,4,112,447915.3444,4638678.694,1,0.091666667,1.0875
113,B222408,4,41.89830822,-87.62754187,1.368,39,24,9,435,239,6091,6939,E,S, 7 - 25 E CHESTNUT ST ,7,25,15 E CHESTNUT ST,222408,222,4,113,447945.6957,4638675.978,1,0.263598326,1.820083682
114,B222409,4,41.89891364,-87.6282835,1.26,36,9,10,379,228,5719,8925,N,W, 864 - 876 N STATE ST ,864,876,874 N STATE ST,222409,222,4,114,447884.6699,4638743.647,1,0.197368421,1.662280702
115,B222411,4,41.89798347,-87.62885301,1.355,52,17,18,433,239,5053,7632,W,S, 7 - 21 W CHESTNUT ST ,7,21,17 W CHESTNUT ST,222411,222,4,115,447836.6725,4638640.718,1,0.288702929,1.811715481
116,B222412,4,41.89776967,-87.62825601,1.199,17,3,0,195,233,2881,4313,N,W, 828 - 832 N STATE ST ,828,832,830 N STATE ST,222412,222,4,116,447886.02,4638616.618,1,0.08583691,0.836909871
117,B222413,4,41.89751113,-87.62875423,1.117,42,5,4,412,247,5792,6341,W,S, 9 - 17 W PEARSON ST ,9,17,13 W PEARSON ST,222413,222,4,117,447844.482,4638588.215,1,0.190283401,1.668016194
118,B222414,4,41.89669257,-87.62886487,1.065,15,0,2,155,85,3702,2906,W,N, 6 - 24 W CHICAGO AVE ,6,24,16 W CHICAGO AVE,222414,222,4,118,447834.6382,4638497.4,1,0.176470588,1.823529412
119,B222415,4,41.8966736,-87.63016641,1.198,1,0,0,55,85,871,629,W,N, 50 - 64 W CHICAGO AVE ,50,64,54 W CHICAGO AVE,222415,222,4,119,447726.6574,4638496.086,1,0.011764706,0.647058824
